,RMSE
0 features,5.02250119350361
1 features,4.790560637769698
2 features,4.7822585375395565
3 features,4.748819529160562
4 features,4.746979282703748
5 features,4.74651777626748
6 features,4.738378935853441
7 features,4.721765120681761
8 features,4.718588625280812
9 features,4.703630420555243
10 features,4.697816669876576
11 features,4.6910304511521135
12 features,4.665613594503191
13 features,4.664918095345333
14 features,4.664654348710746
15 features,4.660952646350119
16 features,4.654263336631337
17 features,4.653235466688266
18 features,4.6174540060433396
19 features,4.600658329139416
20 features,4.600551312686716
21 features,4.567367146718481
22 features,4.567309923334884
23 features,4.563401772721592
24 features,4.561755680457683
25 features,4.547923479577455
26 features,4.544254611189435
27 features,4.5215213449856995
28 features,4.5212196972833265
29 features,4.521203723364546
30 features,4.518280868113466
31 features,4.5180923656736685
32 features,4.514660517255295
33 features,4.512759108481526
34 features,4.494008730956043
35 features,4.493835374784944
36 features,4.490223335693632
37 features,4.488726732433928
38 features,4.4887110197119435
39 features,4.488172946246541
40 features,4.488157745300072
41 features,4.486882149118712
42 features,4.472980988639175
43 features,4.470178449196402
44 features,4.465093407225359
45 features,4.464953769932496
46 features,4.453273645303901
47 features,4.450822154213152
48 features,4.4484766757974255
49 features,4.422551668985308
50 features,4.422422350620471
51 features,4.4169175039686195
52 features,4.411781211070483
53 features,4.410083329807477
54 features,4.405240998021925
55 features,4.40442647750445
56 features,4.389580059210192
57 features,4.379214716656648
58 features,4.372136620920916
59 features,4.367440085998856
60 features,4.365745081335802
61 features,4.365707597309178
62 features,4.365546717885892
63 features,4.331324719198398
64 features,4.327681298347974
65 features,4.322743939964426
66 features,4.3209924504496415
67 features,4.320555307613499
68 features,4.31080627044108
69 features,4.294084554605321
70 features,4.28471326423264
71 features,4.281227044424
72 features,4.281220249759826
73 features,4.268484193862603
74 features,4.259211336037424
75 features,4.252604331985544
76 features,4.243522359561123
77 features,4.24351723285714
78 features,4.24010518762779
79 features,4.233245571850535
80 features,4.229783530520283
81 features,4.226741128460159
82 features,4.218700480981817
83 features,4.213054151365151
84 features,4.209989591838565
85 features,4.20837497247801
86 features,4.180313875550196
87 features,4.177427812910689
88 features,4.173669558927993
89 features,4.17344855976531
90 features,4.154480959909854
91 features,4.139299157732387
92 features,4.129832943095333
93 features,4.129464923777689
94 features,4.129371512725433
95 features,4.118494003900446
96 features,4.117462238380142
97 features,4.116461811870041
98 features,4.116199127335033
99 features,4.11078183035058
100 features,4.101666147660837
101 features,4.095455382829532
102 features,4.094837944425278
103 features,4.0921827197707685
104 features,4.091614380676602
105 features,4.084752910671271
106 features,4.072830623879765
107 features,4.067690839921443
108 features,4.061842828193504
109 features,4.044431171335252
110 features,4.044431170534155
111 features,4.030948714467103
112 features,4.0235539479536095
113 features,4.013367619390473
114 features,3.9956530971676605
115 features,3.991010558949963
116 features,3.955171196495262
117 features,3.9460458934881437
118 features,3.9436690920778057
